character-simplified|pinyin|definition
阿姨|āyí|maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個/个[ge4]
啊|a|interjection of surprise; Ah!; Oh!; interjection expressing doubt or requiring answer; Eh?; what?; interjection of surprise or doubt; Eh?; My!; what's up?; interjection or grunt of agreement; uhm; Ah, OK; expression of recognition; Oh, it's you!; modal particle ending sentence, showing affirmation, approval, or consent
矮|ǎi|low; short (in length)
爱好|àihǎo|to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個/个[ge4]
安静|ānjìng|quiet; peaceful; calm
把|bǎ|to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; handle
搬|bān|to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately
班|bān|surname Ban; team; class; squad; work shift; ranking; CL:個/个[ge4]; classifier for groups
半|bàn|half; semi-; incomplete; (after a number) and a half
办法|bànfǎ|means; method; way (of doing sth); CL:條/条[tiao2],個/个[ge4]
办公室|bàngōngshì|office; business premises; bureau; CL:間/间[jian1]
帮忙|bāngmáng|to help; to lend a hand; to do a favor; to do a good turn
包|bāo|surname Bao; to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個/个[ge4],隻/只[zhi1]
饱|bǎo|to eat till full; satisfied
北方|běifāng|north; the northern part a country; China north of the Yellow River
被|bèi|quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with; (coll.) (since c. 2009) used before a verb that does not accurately represent what actually happened, to describe with black humor how sb or sth was dealt with by the authorities (as in 被自殺/被自杀[bei4 zi4 sha1])
鼻子|bízǐ|nose; CL:個/个[ge4],隻/只[zhi1]
比较|bǐjiào|to compare; to contrast; comparatively; relatively; quite; comparison
比赛|bǐsài|competition (sports etc); match; CL:場/场[chang3],次[ci4]; to compete
必须|bìxū|to have to; must; compulsory; necessarily
变化|biànhuà|change; variation; to change; to vary; CL:個/个[ge4]
表示|biǎoshì|to express; to show; to say; to state; to indicate; to mean
表演|biǎoyǎn|play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場/场[chang3]
别人|biérén|other people; others; other person
宾馆|bīnguǎn|guesthouse; lodge; hotel; CL:個/个[ge4],家[jia1]
冰箱|bīngxiāng|icebox; freezer cabinet; refrigerator; CL:臺/台[tai2],個/个[ge4]
才|cái|ability; talent; sb of a certain type; a capable individual; only; only then; just now; a moment ago; just now; (indicating sth happening later than expected); (preceded by a clause of condition or reason) not until; (followed by a numerical clause) only
菜单|càidān|menu; CL:份[fen4],張/张[zhang1]
参加|cānjiā|to participate; to take part; to join
草|cǎo|variant of 草[cao3]; grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]; variant of 肏[cao4]
层|céng|layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.)
差|chà|difference; discrepancy; to differ; error; to err; to make a mistake; to differ from; to fall short of; lacking; wrong; inferior; Taiwan pr. [cha1]; to send; to commission; messenger; mission
超市|chāoshì|supermarket; abbr. for 超級市場/超级市场; CL:家[jia1]
衬衫|chènshān|shirt; blouse; CL:件[jian4]
成绩|chéngjī|achievement; performance records; grades; CL:項/项[xiang4],個/个[ge4]
城市|chéngshì|city; town; CL:座[zuo4]
迟到|chídào|to arrive late
出现|chūxiàn|to appear; to arise; to emerge; to show up
除了|chúle|besides; apart from (... also...); in addition to; except (for)
厨房|chúfáng|kitchen; CL:間/间[jian1]
春|chūn|old variant of 春[chun1]; surname Chun; spring (season); gay; joyful; youthful; love; lust; life
词语|cíyǔ|word (general term including monosyllables through to short phrases); term (e.g. technical term); expression
聪明|cōngmíng|intelligent; clever; bright; smart; acute (of sight and hearing)
打扫|dǎsǎo|to clean; to sweep
打算|dǎsuàn|to plan; to intend; to calculate; plan; intention; calculation; CL:個/个[ge4]
带|dài|band; belt; girdle; ribbon; tire; area; zone; region; CL:條/条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise
担心|dànxīn|anxious; worried; uneasy; to worry; to be anxious
蛋糕|dàngāo|cake; CL:塊/块[kuai4],個/个[ge4]
当然|dāngrán|only natural; as it should be; certainly; of course; without doubt
地|dì|-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; earth; ground; field; place; land; CL:片[pian4]
灯|dēng|lamp; light; lantern; CL:盞/盏[zhan3]
低|dī|low; beneath; to lower (one's head); to let droop; to hang down; to incline
地方|dìfāng|region; regional (away from the central administration); local; area; place; space; room; territory; CL:處/处[chu4],個/个[ge4],塊/块[kuai4]
地铁|dìtiě|subway; metro
地图|dìtú|map; CL:張/张[zhang1],本[ben3]
电梯|diàntī|elevator; escalator; CL:臺/台[tai2],部[bu4]
电子|diànzǐ|electronic; electron (particle physics)
冬|dōng|winter; surname Dong; (onom.) beating a drum; rat-a-tat
东|dōng|surname Dong; east; host (i.e. sitting on east side of guest); landlord
动物|dòngwù|animal; CL:隻/只[zhi1],群[qun2],個/个[ge4]
短|duǎn|short; brief; to lack; weak point; fault
段|duàn|surname Duan; paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc
锻炼|duànliàn|to toughen; to temper; to engage in physical exercise; to work out; (fig.) to develop one's skills; to train oneself
多么|duōyāo|how (wonderful etc); what (a great idea etc); however (difficult it may be etc); (in interrogative sentences) how (much etc); to what extent
饿|è|to be hungry; hungry; to starve (sb)
而且|érqiě|(not only ...) but also; moreover; in addition; furthermore
耳朵|ěrduǒ|ear; CL:隻/只[zhi1],個/个[ge4],對/对[dui4]; handle (on a cup)
发烧|fāshāo|to have a high temperature (from illness); to have a fever
发现|fāxiàn|to find; to discover
方便|fāngbiàn|convenient; suitable; to facilitate; to make things easy; having money to spare; (euphemism) to relieve oneself
放|fàng|to put; to place; to release; to free; to let go; to let out; to set off (fireworks)
放心|fàngxīn|to feel relieved; to feel reassured; to be at ease
分|fēn|to divide; to separate; to distribute; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money); part; share; ingredient; component
附近|fùjìn|(in the) vicinity; nearby; neighboring; next to
复习|fùxí|to review; revision; CL:次[ci4]; variant of 復習/复习[fu4 xi2]
干净|gānjìng|clean; neat
敢|gǎn|to dare; daring; (polite) may I venture
感冒|gǎnmào|to catch cold; (common) cold; CL:場/场[chang2],次[ci4]; (coll.) to be interested in (often used in the negative); (Tw) to detest; can't stand
刚才|gāngcái|just now; a moment ago; (just) a moment ago
根据|gēnjù|according to; based on; basis; foundation; CL:個/个[ge4]
跟|gēn|heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns)
更|gèng|to change or replace; to experience; one of the five two-hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard); more; even more; further; still; still more
公园|gōngyuán|park (for public recreation); CL:個/个[ge4],座[zuo4]
故事|gùshì|old practice; CL:個/个[ge4]; narrative; story; tale
刮|guā|to scrape; to blow; to shave; to plunder; to extort; to blow (of the wind)
关|guān|surname Guan; mountain pass; to close; to shut; to turn off; to concern; to involve
关系|guānxì|relation; relationship; to concern; to affect; to have to do with; guanxi; CL:個/个[ge4]; variant of 關係/关系[guan1 xi5]
关心|guānxīn|to be concerned about; to care about
关于|guānyú|pertaining to; concerning; with regard to; about; a matter of
国家|guójiā|country; nation; state; CL:個/个[ge4]
果汁|guǒzhī|fruit juice
过去|guòqù|(in the) past; former; previous; to go over; to pass by; (verb suffix)
还是|huánshì|or; still; nevertheless; had better
害怕|hàipà|to be afraid; to be scared
河|hé|river; CL:條/条[tiao2],道[dao4]
黑板|hēibǎn|blackboard; CL:塊/块[kuai4],個/个[ge4]
护照|hùzhào|passport; CL:本[ben3],個/个[ge4]
花|huā|surname Hua; flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); (coll.) lecherous; lustful; old variant of 花[hua1]; variant of 花[hua1]; flower; blossom; also pr. [wei3]
花园|huāyuán|garden; CL:座[zuo4],個/个[ge4]
画|huà|to draw; picture; painting; CL:幅[fu2],張/张[zhang1]; classifier for paintings etc; variant of 劃/划[hua4]
坏|huài|bad; spoiled; broken; to break down; (suffix) to the utmost
环境|huánjìng|environment; circumstances; surroundings; CL:個/个[ge4]; ambient
换|huàn|to exchange; to change (clothes etc); to substitute; to switch; to convert (currency)
黄|huáng|surname Huang or Hwang; yellow; pornographic; to fall through
会议|hùiyì|meeting; conference; CL:場/场[chang3],屆/届[jie4]
或者|huòzhě|or; possibly; maybe; perhaps
机会|jīhùi|opportunity; chance; occasion; CL:個/个[ge4]
几乎|jīhū|almost; nearly; practically
极|jí|extremely; pole (geography, physics); utmost; top
记得|jìdé|to remember
季节|jìjié|time; season; period; CL:個/个[ge4]
检查|jiǎnchá|inspection; to examine; to inspect; CL:次[ci4]
简单|jiǎndān|simple; not complicated
见面|jiànmiàn|to meet; to see each other; CL:次[ci4]
健康|jiànkāng|health; healthy
讲|jiǎng|to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture
教|jiào|surname Jiao; to teach; religion; teaching; to make; to cause; to tell
脚|jiǎo|foot; leg (of an animal or an object); base (of an object); CL:雙/双[shuang1],隻/只[zhi1]; classifier for kicks; variant of 角[jue2]; role
角|jiǎo|surname Jue; angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan, or 10 cents (a dime); CL:個/个[ge4]; role (theater); to compete; ancient three legged wine vessel; third note of pentatonic scale
接|jiē|to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; to take over for sb
街道|jiēdào|street; CL:條/条[tiao2]; subdistrict; residential district
节目|jiémù|program; item (on a program); CL:臺/台[tai2],個/个[ge4],套[tao4]
节日|jiérì|holiday; festival; CL:個/个[ge4]
结婚|jiéhūn|to marry; to get married; CL:次[ci4]
结束|jiéshù|termination; to finish; to end; to conclude; to close
解决|jiějué|to settle (a dispute); to resolve; to solve; to dispose of; to dispatch
借|jiè|to lend; to borrow; by means of; to take (an opportunity); variant of 借[jie4]
经常|jīngcháng|frequently; constantly; regularly; often; day-to-day; everyday; daily
经过|jīngguò|to pass; to go through; process; course; CL:個/个[ge4]
经理|jīnglǐ|manager; director; CL:個/个[ge4],位[wei4],名[ming2]
久|jǐu|(long) time; (long) duration of time
旧|jìu|old; opposite: new 新; former; worn (with age)
举行|jǔxíng|to hold (a meeting, ceremony etc)
句子|jùzǐ|sentence; CL:個/个[ge4]
决定|juédìng|to decide (to do something); to resolve; decision; CL:個/个[ge4],項/项[xiang4]; certainly
渴|kě|thirsty
可爱|kěài|adorable; cute; lovely
刻|kè|quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals
客人|kèrén|visitor; guest; customer; client; CL:位[wei4]
空调|kōngdiào|air conditioning; air conditioner (including units that have a heating mode); CL:臺/台[tai2]
口|kǒu|mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls
哭|kū|to cry; to weep
裤子|kùzǐ|trousers; pants; CL:條/条[tiao2]
筷子|kuàizǐ|chopsticks; CL:對/对[dui4],根[gen1],把[ba3],雙/双[shuang1]
蓝|lán|surname Lan; blue; indigo plant
老|lǎo|prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough
离开|líkāi|to depart; to leave
礼物|lǐwù|gift; present; CL:件[jian4],個/个[ge4],份[fen4]
历史|lìshǐ|history; CL:門/门[men2],段[duan4]
脸|liǎn|face; CL:張/张[zhang1],個/个[ge4]
练习|liànxí|to practice; exercise; drill; practice; CL:個/个[ge4]
辆|liàng|classifier for vehicles
了解|lejiě|to understand; to realize; to find out; to understand; to realize; to find out
邻居|línjū|neighbor; next door; CL:個/个[ge4]
楼|lóu|surname Lou; house with more than 1 story; storied building; floor; CL:層/层[ceng2],座[zuo4],棟/栋[dong4]
绿|lv̀|green
马|mǎ|surname Ma; abbr. for Malaysia 馬來西亞/马来西亚[Ma3 lai2 xi1 ya4]; horse; CL:匹[pi3]; horse or cavalry piece in Chinese chess; knight in Western chess
马上|mǎshàng|at once; right away; immediately; on horseback (i.e. by military force)
满意|mǎnyì|satisfied; pleased; to one's satisfaction
帽子|màozǐ|hat; cap; (fig.) label; bad name; CL:頂/顶[ding3]
米|mǐ|surname Mi; rice; CL:粒[li4]; meter (classifier)
面包|miànbāo|bread; CL:片[pian4],袋[dai4],塊/块[kuai4]
面条|miàntiáo|noodles
明白|míngbái|clear; obvious; unequivocal; to understand; to realize
拿|ná|variant of 拿[na2]; to hold; to seize; to catch; to apprehend; to take; (used in the same way as 把[ba3]: to mark the following noun as a direct object)
奶奶|nǎinǎi|(informal) grandma (paternal grandmother); (respectful) mistress of the house; CL:位[wei4]; (coll.) boobies; breasts
南|nán|surname Nan; south
难|nán|difficult (to...); problem; difficulty; difficult; not good; disaster; distress; to scold
难过|nánguò|to feel sad; to feel unwell; (of life) to be difficult
年级|niánjí|grade; year (in school, college etc); CL:個/个[ge4]
年轻|niánqīng|young
鸟|niǎo|variant of 屌[diao3]; penis; bird; CL:隻/只[zhi1],群[qun2]; (dialect) to pay attention to; (intensifier) damned; goddam
努力|nǔlì|great effort; to strive; to try hard
爬山|páshān|to climb a mountain; to mountaineer; hiking; mountaineering
盘子|pánzǐ|tray; plate; dish; CL:個/个[ge4]
胖|pàng|healthy; at ease; fat; plump
啤酒|píjǐu|beer (loanword); CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]
葡萄|pútáo|grape
普通话|pǔtōnghuà|Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech
骑|qí|(Tw) saddle horse; mounted soldier; to sit astride; to ride (a horse, bike etc); classifier for saddle horses
其实|qíshí|actually; in fact; really
其他|qítā|other; (sth or sb) else; the rest
奇怪|qíguài|strange; odd; to marvel; to be baffled
铅笔|qiānbǐ|(lead) pencil; CL:支[zhi1],枝[zhi1],桿/杆[gan3]
清楚|qīngchǔ|clear; distinct; to understand thoroughly; to be clear about
秋|qīu|surname Qiu; autumn; fall; harvest time; old variant of 秋[qiu1]; see 鞦韆/秋千[qiu1 qian1]
裙子|qúnzǐ|skirt; CL:條/条[tiao2]
然后|ránhòu|after; then (afterwards); after that; afterwards
热情|rèqíng|cordial; enthusiastic; passion; passionate; passionately
认为|rènwèi|to believe; to think; to consider; to feel
认真|rènzhēn|conscientious; earnest; serious; to take seriously; to take to heart
容易|róngyì|easy; likely; liable (to)
如果|rúguǒ|if; in case; in the event that
伞|sǎn|umbrella; parasol; CL:把[ba3]; damask silk; variant of 傘/伞[san3]
上网|shàngwǎng|to go online; to connect to the Internet; (of a document etc) to be uploaded to the Internet; (tennis, volleyball etc) to move in close to the net
