character-simplified|pinyin|definition
旅游|lv̌yóu|trip; journey; tourism; travel; tour; to travel
卖|mài|to sell; to betray; to spare no effort; to show off or flaunt
慢|màn|slow
忙|máng|busy; hurriedly; to hurry; to rush
每|měi|each; every
妹妹|mèimèi|younger sister; young woman; CL:個/个[ge4]
门|mén|surname Men
男人|nánrén|a man; a male; men; CL:個/个[ge4]
您|nín|you (courteous, as opposed to informal 你[ni3])
牛奶|níunǎi|cow's milk; CL:瓶[ping2],杯[bei1]
女人|nv̌rén|woman; wife
旁边|pángbiān|lateral; side; to the side; beside
跑步|pǎobù|to run; to jog; (military) to march at the double
便宜|biànyí|convenient; cheap; inexpensive; small advantages; to let sb off lightly
票|piào|ticket; ballot; banknote; CL:張/张[zhang1]; person held for ransom; amateur performance of Chinese opera; classifier for groups, batches, business transactions
妻子|qīzǐ|wife and children; wife; CL:個/个[ge4]
起床|qǐchuáng|to get out of bed; to get up
千|qiān|thousand; see 鞦韆/秋千[qiu1 qian1]
晴|qíng|clear; fine (weather)
去年|qùnián|last year
让|ràng|to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); by (indicates the agent in a passive clause, like 被[bei4])
上班|shàngbān|to go to work; to be on duty; to start work; to go to the office
身体|shēntǐ|the body; one's health; CL:具[ju4],個/个[ge4]; in person
生病|shēngbìng|to fall ill
生日|shēngrì|birthday; CL:個/个[ge4]
时间|shíjiān|time; period; CL:段[duan4]
事情|shìqíng|affair; matter; thing; business; CL:件[jian4],樁/桩[zhuang1]
手表|shǒubiǎo|wrist watch; CL:塊/块[kuai4],隻/只[zhi1],個/个[ge4]
手机|shǒujī|cell phone; mobile phone; CL:部[bu4],支[zhi1]
送|sòng|to deliver; to carry; to give (as a present); to present (with); to see off; to send
所以|suǒyǐ|therefore; as a result; so; the reason why
它|tā|it
踢|tī|to kick; to play (e.g. soccer); (slang) butch (in a lesbian relationship)
题|tí|surname Ti; topic; problem for discussion; exam question; subject; to inscribe; to mention; CL:個/个[ge4],道[dao4]
跳舞|tiàowǔ|to dance
外|wài|outside; in addition; foreign; external
完|wán|to finish; to be over; whole; complete; entire
玩|wán|to play; to have fun; to trifle with; toy; sth used for amusement; curio or antique (Taiwan pr. [wan4]); to keep sth for entertainment; variant of 玩[wan2]; Taiwan pr. [wan4]
晚上|wǎnshàng|evening; night; CL:個/个[ge4]; in the evening
为|wèi|as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); because of; for; to; variant of 為/为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; variant of 為/为[wei4], because of; for; to
问|wèn|to ask
问题|wèntí|question; problem; issue; topic; CL:個/个[ge4]
西瓜|xīguā|watermelon; CL:顆/颗[ke1],粒[li4],個/个[ge5]
希望|xīwàng|to wish for; to desire; hope; CL:個/个[ge4]
洗|xǐ|to wash; to bathe; to develop (photo)
向|xiàng|surname Xiang; towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; (suffix) suitable for ...; oriented to ...; to tend toward; to guide; variant of 向[xiang4]; variant of 向[xiang4]; direction; orientation; to face; to turn toward; to; towards; shortly before; formerly
小时|xiǎoshí|hour; CL:個/个[ge4]
笑|xiào|old variant of 笑[xiao4]; laugh; smile; CL:個/个[ge4]
新|xīn|abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1]; surname Xin; new; newly; meso- (chemistry)
姓|xìng|family name; surname; CL:個/个[ge4]; to be surnamed
休息|xīuxī|rest; to rest
雪|xuě|surname Xue; snow; snowfall; CL:場/场[chang2]; to have the appearance of snow; to wipe away, off or out; to clean
颜色|yánsè|color; countenance; appearance; facial expression; pigment; dyestuff
眼睛|yǎnjīng|eye; CL:隻/只[zhi1],雙/双[shuang1]
羊肉|yángròu|mutton; goat meat
药|yào|leaf of the iris; variant of 藥/药[yao4]; medicine; drug; substance used for a specific purpose (e.g. poisoning, explosion, fermenting); CL:種/种[zhong3],服[fu4],味[wei4]; to poison
要|yào|to demand; to request; to coerce; important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if
也|yě|surname Ye; also; too; (in Classical Chinese) final particle implying affirmation
已经|yǐjīng|already
一起|yīqǐ|in the same place; together; with; altogether (in total)
意思|yìsī|idea; opinion; meaning; wish; desire; interest; fun; token of appreciation, affection etc; CL:個/个[ge4]; to give as a small token; to do sth as a gesture of goodwill etc
阴|yīn|surname Yin; overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia; variant of 陰/阴[yin1]
因为|yīnwèi|because; owing to; on account of
游泳|yóuyǒng|swimming; to swim
右边|yòubiān|right side; right, to the right
鱼|yú|surname Yu; fish; CL:條/条[tiao2],尾[wei3]
元|yuán|surname Yuan; the Yuan or Mongol dynasty (1279-1368); currency unit (esp. Chinese yuan); first; original; primary; fundamental; constituent; part; era (of a reign); meta- (prefix); (math.) argument; variable; (Tw) (geology) eon
远|yuǎn|far; distant; remote; (intensifier in a comparison) by far; much (lower etc); to distance oneself from (classical)
运动|yùndòng|to move; to exercise; sports; exercise; motion; movement; campaign; CL:場/场[chang3]
再|zài|again; once more; re-; second; another; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)
早上|zǎoshàng|early morning; CL:個/个[ge4]
张|zhāng|surname Zhang; to open up; to spread; sheet of paper; classifier for flat objects, sheet; classifier for votes
长|cháng|length; long; forever; always; constantly; chief; head; elder; to grow; to develop; to increase; to enhance
丈夫|zhàngfū|husband; CL:個/个[ge4]
