character-simplified|pinyin|definition
哎哟|āiyo|hey; ow; ouch; interjection of pain or surprise
挨|āi|in order; in sequence; close to; adjacent to; to suffer; to endure; to pull through (hard times); to delay; to stall; to play for time; to dawdle
癌症|áizhèng|cancer
爱戴|àidài|to love and respect; love and respect
暧昧|àimèi|vague; ambiguous; equivocal; dubious
安居乐业|ānjūlèyè|to live in peace and work happily (idiom)
安宁|ānníng|Anning District of Lanzhou City 蘭州市/兰州市[Lan2 zhou1 Shi4], Gansu; Anning City, to the west of Kunming 昆明[Kun1 ming2], Yunnan; peaceful; tranquil; calm; composed; free from worry
安详|ānxiáng|serene
安置|ānzhì|to find a place for; to help settle down; to arrange for; to get into bed; placement
暗示|ànshì|to hint; to suggest; suggestion; hint
案件|ànjiàn|case; instance; CL:宗[zong1],樁/桩[zhuang1],起[qi3]
案例|ànlì|case (law); CL:個/个[ge4]
按摩|ànmó|massage; to massage
昂贵|ánggùi|expensive; costly
凹凸|āotū|concave or convex; bumps and holes; uneven (surface); rugged
熬|áo|to boil; to simmer; to cook on a slow fire; to extract by heating; to decoct; to endure
奥秘|àomì|secret; mystery
扒|bā|to peel; to skin; to tear; to pull down; to cling to (sth on which one is climbing); to dig; to rake up; to steal; to braise; to crawl
疤|bā|scar; scab
巴不得|bābùdé|(coll.) to be eager for; to long for; to look forward to
巴结|bājié|to fawn on; to curry favor with; to make up to
拔苗助长|bámiáozhùcháng|to spoil things through excessive enthusiasm (idiom)
把关|bǎguān|to guard a pass; to check on sth
把手|bǎshǒu|to shake hands; handle; grip; knob
把戏|bǎxì|acrobatics; jugglery; cheap trick; game
霸道|bàdào|the Way of the Hegemon; abbr. for 霸王之道; despotic rule; rule by might; evil as opposed to the Way of the King 王道; overbearing; tyranny; (of liquor, medicine etc) strong; potent
罢工|bàgōng|a strike; to go on strike
掰|bāi|to break off or break open sth with one's hands; (fig.) to break off (a relationship)
百分点|bǎifēndiǎn|percentage point
摆脱|bǎituō|to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself
拜访|bàifǎng|to pay a visit; to call on
拜年|bàinián|to pay a New Year call; to wish sb a Happy New Year
拜托|bàituō|to request sb to do sth; please!
败坏|bàihuài|to ruin; to corrupt; to undermine
颁布|bānbù|to issue; to proclaim; to enact (laws, decrees etc)
颁发|bānfā|to issue; to promulgate; to award
斑纹|bānwén|stripe; streak
版本|bǎnběn|version; edition; release
伴侣|bànlv̌|companion; mate; partner
伴随|bànsúi|to accompany; to follow; to occur together with; concomitant
扮演|bànyǎn|to play the role of; to act
绑架|bǎngjià|to kidnap; to abduct; to hijack; a kidnapping; abduction; staking
榜样|bǎngyáng|example; model; CL:個/个[ge4]
磅|bàng|see 磅秤 scale; platform balance; (loanword) pound (unit of weight, about 454 grams)
包庇|bāobì|to shield; to harbor; to cover up
包袱|bāofú|wrapping cloth; a bundle wrapped in cloth; load; weight; burden; funny part; punchline
包围|bāowéi|to surround; to encircle; to hem in
包装|bāozhuāng|to pack; to package; to wrap; packaging
饱和|bǎohé|saturation
饱经沧桑|bǎojīngcāngsāng|having lived through many changes
保管|bǎoguǎn|to hold in safekeeping; to have in one's care; to guarantee; certainly; surely; custodian; curator
保密|bǎomì|to keep sth confidential; to maintain secrecy
保姆|bǎomǔ|nanny; housekeeper
保守|bǎoshǒu|conservative; to guard; to keep
保卫|bǎowèi|to defend; to safeguard
