character-simplified|pinyin|definition
爱|ài|to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)
八|bā|eight; 8
爸爸|bàbà|(informal) father; CL:個/个[ge4],位[wei4]
杯子|bēizǐ|cup; glass; CL:個/个[ge4],隻/只[zhi1]
北京|běijīng|Beijing, capital of People's Republic of China; Peking; PRC government
本|běn|root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc
不客气|bùkèqì|you're welcome; don't mention it; impolite; rude; blunt
不|bù|(negative prefix); not; no
菜|cài|dish (type of food); vegetable; cuisine; CL:盤/盘[pan2],道[dao4]; (coll.) (one's) type; (of one's skills etc) weak; poor
茶|chá|tea; tea plant; CL:杯[bei1],壺/壶[hu2]
吃|chī|to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); variant of 吃[chi1]
出租车|chūzūchē|taxi; (Tw) rental car
打电话|dǎdiànhuà|to make a telephone call
大|dà|big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; see 大夫[dai4 fu5]
的|de|of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); see 的士[di1 shi4]; really and truly; aim; clear
点|diǎn|point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items
电脑|diànnǎo|computer; CL:臺/台[tai2]
电视|diànshì|television; TV; CL:臺/台[tai2],個/个[ge4]
电影|diànyǐng|movie; film; CL:部[bu4],片[pian4],幕[mu4],場/场[chang3]
东西|dōngxī|east and west; thing; stuff; person; CL:個/个[ge4],件[jian4]
都|dū|surname Du; all; both; entirely; (used for emphasis) even; already; (not) at all; capital city; metropolis
读|dú|comma; phrase marked by pause; to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]
对不起|dùibùqǐ|unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat)
多|duō|many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"
多少|duōshǎo|number; amount; somewhat; how much?; how many?; (phone number, student ID etc) what number?
儿子|érzǐ|son
二|èr|two; 2; (Beijing dialect) stupid
饭馆|fànguǎn|restaurant; CL:家[jia1]
飞机|fēijī|airplane; CL:架[jia4]
分钟|fēnzhōng|minute
高兴|gāoxīng|happy; glad; willing (to do sth); in a cheerful mood
个|gè|individual; this; that; size; classifier for people or objects in general; variant of 個/个[ge4]
工作|gōngzuò|to work; (of a machine) to operate; job; work; task; CL:個/个[ge4],份[fen4],項/项[xiang4]
狗|gǒu|dog; CL:隻/只[zhi1],條/条[tiao2]
汉语|hànyǔ|Chinese language; CL:門/门[men2]
好|hǎo|good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of two people) close; on intimate terms; (after a personal pronoun) hello; to be fond of; to have a tendency to; to be prone to
喝|hē|to drink; variant of 嗬[he1]; to shout
和|hé|old variant of 和[he2]; surname He; Japanese (food, clothes etc); and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and" or "with"; to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; to complete a set in mahjong or playing cards; to combine a powdery substance (flour, plaster etc) with water; Taiwan pr. [huo4]; to mix (ingredients) together; to blend; classifier for rinses of clothes; classifier for boilings of medicinal herbs; old variant of 和[he2]; harmonious
很|hěn|(adverb of degree); quite; very; awfully
后面|hòumiàn|rear; back; behind; later; afterwards; also pr. [hou4 mian5]
回|húi|to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); to curve; to return; to revolve; variant of 迴/回[hui2]
会|hùi|can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個/个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); to balance an account; accountancy; accounting
火车站|huǒchēzhàn|train station
几|jī|small table; almost; how much; how many; several; a few
家|jiā|see 傢伙/家伙[jia1 huo5]; home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個/个[ge4]
叫|jiào|to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood); variant of 叫[jiao4]
今天|jīntiān|today; at the present; now
九|jǐu|nine; 9
开|kāi|to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (a vehicle); carat (gold); abbr. for Kelvin, 開爾文/开尔文[Kai1 er3 wen2]; abbr. for 開本/开本[kai1 ben3], book format
看|kàn|to look after; to take care of; to watch; to guard; to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger)
看见|kànjiàn|to see; to catch sight of
块|kuài|lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units
来|lái|to come; to arrive; to come round; ever since; next
老师|lǎoshī|teacher; CL:個/个[ge4],位[wei4]
了|le|(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause); to finish; to achieve; variant of 瞭/了[liao3]; to understand clearly; (of eyes) bright; clear-sighted; to understand clearly; unofficial variant of 瞭[liao4]
冷|lěng|surname Leng; cold
里|lǐ|variant of 裡/里[li3]; lining; interior; inside; internal; also written 裏/里[li3]; Li (surname); li, ancient measure of length, approx. 500 m; neighborhood; ancient administrative unit of 25 families; (Tw) borough, administrative unit between the township 鎮/镇[zhen4] and neighborhood 鄰/邻[lin2] levels
零|líng|zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither
六|lìu|six; 6
妈妈|māmā|mama; mommy; mother; CL:個/个[ge4],位[wei4]
吗|ma|see 嗎啡/吗啡, morphine; (question particle for "yes-no" questions)
买|mǎi|to buy; to purchase
猫|māo|cat; CL:隻/只[zhi1]; (dialect) to hide oneself; (coll.) modem
没|méi|(negative prefix for verbs); have not; not; drowned; to end; to die; to inundate
没关系|méiguānxì|it doesn't matter
米饭|mǐfàn|(cooked) rice
明天|míngtiān|tomorrow
名字|míngzì|name (of a person or thing); CL:個/个[ge4]
哪|nǎ|how; which; (emphatic sentence-final particle, used instead of 啊[a5] after a word ending in "n"); which? (interrogative, followed by classifier or numeral-classifier)
那|nà|surname Na; surname Nuo; variant of 哪[na3]; that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; (archaic) many; beautiful; how; old variant of 挪[nuo2]
呢|ní|particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?"); particle for inquiring about location ("Where is ...?"); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ("ok?", "are you with me?"); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation; woolen material
能|néng|surname Neng; can; to be able to; might possibly; ability; (physics) energy
你|nǐ|you (informal, as opposed to courteous 您[nin2])
年|nián|surname Nian; year; CL:個/个[ge4]; grain; harvest (old); variant of 年[nian2]
女儿|nv̌ér|daughter
朋友|péngyǒu|friend; CL:個/个[ge4],位[wei4]
漂亮|piāoliàng|pretty; beautiful
苹果|píngguǒ|apple; CL:個/个[ge4],顆/颗[ke1]
七|qī|seven; 7
钱|qián|surname Qian; coin; money; CL:筆/笔[bi3]; unit of weight, one tenth of a tael 兩/两[liang3]
前面|qiánmiàn|ahead; in front; preceding; above; also pr. [qian2 mian5]
请|qǐng|to ask; to invite; please (do sth); to treat (to a meal etc); to request
去|qù|to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation)
热|rè|to warm up; to heat up; hot (of weather); heat; fervent
人|rén|man; person; people; CL:個/个[ge4],位[wei4]
认识|rènshì|to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition
日|rì|abbr. for 日本[Ri4 ben3], Japan; sun; day; date, day of the month
三|sān|surname San; three; 3
商店|shāngdiàn|store; shop; CL:家[jia1],個/个[ge4]
上|shàng|see 上聲/上声[shang3 sheng1]; on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university)
上午|shàngwǔ|morning; CL:個/个[ge4]
少|shǎo|few; less; to lack; to be missing; to stop (doing sth); seldom; young
谁|shúi|who; also pr. [shui2]
什么|shíyāo|what?; something; anything
十|shí|ten; 10
时候|shíhòu|time; length of time; moment; period
是|shì|is; are; am; yes; to be; variant of 是[shi4]; (used in given names)
书|shū|abbr. for 書經/书经[Shu1 jing1]; book; letter; document; CL:本[ben3],冊/册[ce4],部[bu4]; to write
水|shǔi|surname Shui; water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes
水果|shǔiguǒ|fruit; CL:個/个[ge4]
睡觉|shùijué|to go to bed; to sleep
说话|shuōhuà|to speak; to say; to talk; to gossip; to tell stories; talk; word
四|sì|four; 4
岁|sùi|variant of 歲/岁[sui4], year; years old; classifier for years (of age); year; year (of crop harvests)
他|tā|he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another
她|tā|she
太|tài|highest; greatest; too (much); very; extremely
天气|tiānqì|weather
听|tīng|smile (archaic); to listen; to hear; to obey; a can (loanword from English "tin"); classifier for canned beverages; (literary pronunciation, still advocated in Taiwan) to rule; to sentence; to allow
同学|tóngxué|to study at the same school; fellow student; classmate; CL:位[wei4],個/个[ge4]
